"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"CJS-1200TA";"CJS-1200TA";"SW_CJS-1200TA";"S3";"Switch Slide N.O./N.C. SPDT Raised Slide 0.1A 24VDC J-Hook SMD Embossed T/R";"";
"1";"ESP8266-12E/ESP-12E";"ESP8266-12E/ESP-12E";"XCVR_ESP8266-12E/ESP-12E";"U1";"ESP-12E WiFi Module";"";
"3";"LTST-C193TBKT-5A";"LTST-C193TBKT-5A";"LEDC1608X45N";"LED1, LED2, LED3";"Standard LEDs - SMD Blue 470nm 28mcd 20mA";"";
"2";"PTS810SJK250SMTRLFS";"PTS810SJK250SMTRLFS";"PTS810SJG250SMTRLFS";"S1, S2";"IP40 Black Button Tactile Switch, SPST-NO 50 mA 3mm Surface Mount";"";
"4";"RC0402JR-0710KL";"RC0402JR-0710KL";"RESC1005X40N";"R1, R2, R3, R5";"YAGEO (PHYCOMP) - RC0402JR-0710KL - RES, THICK FILM, 10K, 5%, 0.0625W, 0402";"";
"3";"RC0402JR-071KL";"RC0402JR-071KL";"RESC1005X40N";"R4, R6, R7";"YAGEO (PHYCOMP) - RC0402JR-071KL - RES, THICK FILM, 1K, 5%, 0.0625W, 0402";"";
"2";"SSQ-111-03-G-S";"SSQ-111-03-G-S";"SAMTEC_SSQ-111-03-G-S";"J3, J7";"CONN  SOCKET, 2.54MM, THT VERT, 11POS";"";
